Subject,Start date,Start time,Container Size,In/Out Gate,Full / Empty,Container Status,Origin,Slot
-885157669,7/17/2017,07:00:00 AM,40,GateIn,Empty,EXPORT,90274,Slot29
-1799952229,7/17/2017,07:00:00 AM,40,GateIn,Empty,EXPORT,90410,Slot29
1925792197,7/17/2017,07:00:00 AM,40,GateIn,Empty,EXPORT,91394,Slot29
-1486379881,7/17/2017,07:00:00 AM,45,GateIn,Empty,EXPORT,91333,Slot29
1953935318,7/17/2017,07:00:00 AM,40,GateIn,Full,EXPORT,90088,Slot29
-578068315,7/17/2017,07:00:00 AM,40,GateIn,Full,EXPORT,90007,Slot29
1190529073,7/17/2017,07:00:00 AM,40,GateIn,Empty,EXPORT,90017,Slot29
-1679618204,7/17/2017,07:00:00 AM,40,GateIn,Empty,EXPORT,90014,Slot29
-917303560,7/17/2017,07:00:00 AM,40,GateIn,Empty,EXPORT,91025,Slot29
1015522715,7/17/2017,07:00:00 AM,45,GateIn,Empty,EXPORT,92261,Slot29
733960914,7/17/2017,07:00:00 AM,40,GateIn,Empty,EXPORT,92817,Slot29
2100114027,7/17/2017,07:00:00 AM,40,GateIn,Empty,EXPORT,91748,Slot29
-1999502706,7/17/2017,07:00:00 AM,40,GateIn,Empty,EXPORT,91376,Slot29
-581302019,7/17/2017,07:00:00 AM,40,GateIn,Empty,EXPORT,92324,Slot29
463546500,7/17/2017,07:00:00 AM,40,GateIn,Empty,EXPORT,92675,Slot29
1579941497,7/17/2017,07:00:00 AM,40,GateIn,Empty,EXPORT,92623,Slot29
-658459309,7/17/2017,07:00:00 AM,40,GateIn,Empty,EXPORT,92544,Slot29
2041178024,7/17/2017,07:00:00 AM,20,GateIn,Full,EXPORT,90210,Slot29
306733448,7/17/2017,07:00:00 AM,40,GateIn,Full,EXPORT,92811,Slot29
540836431,7/17/2017,07:00:00 AM,40,GateIn,Empty,EXPORT,93044,Slot29
-1892207059,7/17/2017,07:00:00 AM,20,GateIn,Empty,EXPORT,90021,Slot29
757434567,7/17/2017,07:00:00 AM,40,GateIn,Empty,EXPORT,90704,Slot29
961952521,7/17/2017,07:00:00 AM,40,GateIn,Empty,EXPORT,90029,Slot29
2041561991,7/17/2017,07:00:00 AM,40,GateIn,Empty,EXPORT,92544,Slot29
-2100430196,7/17/2017,07:00:00 AM,40,GateIn,Empty,EXPORT,91776,Slot29
1575374687,7/17/2017,07:00:00 AM,40,GateIn,Empty,EXPORT,91102,Slot29
496952679,7/17/2017,07:00:00 AM,40,GateIn,Empty,EXPORT,92860,Slot29
750013512,7/17/2017,07:00:00 AM,40,GateIn,Empty,EXPORT,91382,Slot29
277818642,7/17/2017,07:00:00 AM,40,GateIn,Empty,EXPORT,92509,Slot29
1144033465,7/17/2017,07:00:00 AM,40,GateIn,Empty,EXPORT,93011,Slot29
-540705966,7/17/2017,07:00:00 AM,45,GateIn,Empty,EXPORT,91804,Slot29
-2126174698,7/17/2017,07:00:00 AM,40,GateIn,Empty,EXPORT,91618,Slot29
-1097630885,7/17/2017,07:00:00 AM,40,GateIn,Empty,EXPORT,90713,Slot29
-1366492332,7/17/2017,07:00:00 AM,40,GateIn,Empty,EXPORT,90066,Slot29
191862067,7/17/2017,07:00:00 AM,40,GateIn,Empty,EXPORT,90272,Slot29
-98114311,7/17/2017,07:00:00 AM,40,GateIn,Empty,EXPORT,90011,Slot29
-1762125304,7/17/2017,07:00:00 AM,40,GateIn,Full,EXPORT,91324,Slot29
-1024069064,7/17/2017,07:00:00 AM,40,GateIn,Empty,EXPORT,92845,Slot29
1081001499,7/17/2017,07:00:00 AM,40,GateIn,Empty,EXPORT,90231,Slot29
1934317608,7/17/2017,07:00:00 AM,40,GateIn,Empty,EXPORT,90249,Slot29
634716932,7/17/2017,07:00:00 AM,40,GateIn,Empty,EXPORT,92376,Slot29
2063867762,7/17/2017,07:00:00 AM,45,GateIn,Empty,EXPORT,92653,Slot29
595472781,7/17/2017,07:00:00 AM,40,GateIn,Full,EXPORT,91508,Slot29
-519565887,7/17/2017,07:00:00 AM,40,GateIn,Empty,EXPORT,92352,Slot29
708806383,7/17/2017,07:00:00 AM,20,GateIn,Full,EXPORT,93032,Slot29
-396826478,7/17/2017,07:00:00 AM,40,GateIn,Full,EXPORT,90605,Slot29
1440105797,7/17/2017,07:00:00 AM,20,GateIn,Empty,EXPORT,92519,Slot29
460338858,7/17/2017,07:00:00 AM,40,GateIn,Empty,EXPORT,93061,Slot29
-286805940,7/17/2017,07:00:00 AM,40,GateIn,Empty,EXPORT,91388,Slot29
511181036,7/17/2017,07:00:00 AM,40,GateIn,Empty,EXPORT,93022,Slot29
1965758879,7/17/2017,07:00:00 AM,40,GateIn,Empty,EXPORT,92506,Slot29
1443324509,7/17/2017,07:00:00 AM,40,GateIn,Empty,EXPORT,92562,Slot29
-2093079345,7/17/2017,07:00:00 AM,40,GateIn,Empty,EXPORT,90006,Slot29
1974231600,7/17/2017,07:00:00 AM,40,GateIn,Empty,EXPORT,90403,Slot29
-601670053,7/17/2017,07:00:00 AM,40,GateIn,Empty,EXPORT,92280,Slot29
679299144,7/17/2017,07:00:00 AM,20,GateIn,Full,EXPORT,90509,Slot29
2060102533,7/17/2017,07:00:00 AM,40,GateIn,Empty,EXPORT,90013,Slot29
2117754044,7/17/2017,07:00:00 AM,40,GateIn,Empty,EXPORT,90630,Slot29
1251535413,7/17/2017,07:00:00 AM,40,GateIn,Empty,EXPORT,92627,Slot29
1258368933,7/17/2017,07:00:00 AM,20,GateIn,Empty,EXPORT,90306,Slot29
-1438420743,7/17/2017,07:00:00 AM,20,GateIn,Empty,EXPORT,91125,Slot29
-689344427,7/17/2017,07:00:00 AM,20,GateIn,Empty,EXPORT,90609,Slot29
-1408550666,7/17/2017,07:00:00 AM,20,GateIn,Empty,EXPORT,92248,Slot29
-86174505,7/17/2017,07:00:00 AM,40,GateIn,Empty,EXPORT,92308,Slot29
1848254604,7/17/2017,07:00:00 AM,40,GateIn,Empty,EXPORT,91346,Slot29
2109043591,7/17/2017,07:00:00 AM,40,GateIn,Empty,EXPORT,90030,Slot29
660106648,7/17/2017,07:00:00 AM,20,GateIn,Empty,EXPORT,92521,Slot29
-1703501801,7/17/2017,07:00:00 AM,40,GateIn,Empty,EXPORT,92662,Slot29
-1510092574,7/17/2017,07:00:00 AM,40,GateIn,Full,EXPORT,93099,Slot29
738995594,7/17/2017,07:00:00 AM,40,GateIn,Empty,EXPORT,90031,Slot29
-1063043689,7/17/2017,07:00:00 AM,40,GateIn,Empty,EXPORT,92385,Slot29
177356998,7/17/2017,07:00:00 AM,20,GateIn,Empty,EXPORT,92882,Slot29
-1918429164,7/17/2017,07:00:00 AM,40,GateIn,Empty,EXPORT,93552,Slot29
-1900787521,7/17/2017,07:00:00 AM,40,GateIn,Empty,EXPORT,90005,Slot29
-489860222,7/17/2017,07:15:00 AM,40,GateIn,Empty,EXPORT,91756,Slot30
-343263089,7/17/2017,07:15:00 AM,20,GateIn,Empty,EXPORT,90848,Slot30
203731424,7/17/2017,07:15:00 AM,40,GateIn,Empty,EXPORT,90054,Slot30
-496171018,7/17/2017,07:15:00 AM,40,GateIn,Empty,EXPORT,91752,Slot30
426851892,7/17/2017,07:15:00 AM,20,GateIn,Empty,EXPORT,90659,Slot30
2036081884,7/17/2017,07:15:00 AM,20,GateIn,Empty,EXPORT,90743,Slot30
1343615013,7/17/2017,07:15:00 AM,20,GateIn,Empty,EXPORT,90051,Slot30
1555720867,7/17/2017,07:15:00 AM,20,GateIn,Empty,EXPORT,91510,Slot30
-183443620,7/17/2017,07:15:00 AM,40,GateIn,Empty,EXPORT,91326,Slot30
-1710231809,7/17/2017,07:15:00 AM,40,GateIn,Empty,EXPORT,90717,Slot30
733874988,7/17/2017,07:15:00 AM,40,GateIn,Empty,EXPORT,92606,Slot30
517156652,7/17/2017,07:15:00 AM,40,GateIn,Empty,EXPORT,92375,Slot30
-243834030,7/17/2017,07:15:00 AM,40,GateIn,Empty,EXPORT,91793,Slot30
879176935,7/17/2017,07:15:00 AM,40,GateIn,Full,EXPORT,91410,Slot30
1115127700,7/17/2017,07:15:00 AM,40,GateIn,Empty,EXPORT,92505,Slot30
-947805915,7/17/2017,07:15:00 AM,20,GateIn,Full,EXPORT,91762,Slot30
-1314934905,7/17/2017,07:15:00 AM,40,GateIn,Empty,EXPORT,92322,Slot30
-424776095,7/17/2017,07:15:00 AM,40,GateIn,Empty,EXPORT,90052,Slot30
-1052161279,7/17/2017,07:15:00 AM,40,GateIn,Empty,EXPORT,93009,Slot30
-1303483199,7/17/2017,07:15:00 AM,20,GateIn,Empty,EXPORT,90245,Slot30
-173388453,7/17/2017,07:15:00 AM,40,GateIn,Empty,EXPORT,92882,Slot30
1487854446,7/17/2017,07:15:00 AM,40,GateIn,Empty,EXPORT,90608,Slot30
1846961220,7/17/2017,07:15:00 AM,40,GateIn,Empty,EXPORT,90263,Slot30
-1298311304,7/17/2017,07:15:00 AM,40,GateIn,Full,EXPORT,90801,Slot30
-1935940736,7/17/2017,07:15:00 AM,40,GateIn,Empty,EXPORT,91609,Slot30
-1703021943,7/17/2017,07:15:00 AM,20,GateIn,Full,EXPORT,92869,Slot30
381214094,7/17/2017,07:15:00 AM,20,GateIn,Empty,EXPORT,91763,Slot30
-1569420676,7/17/2017,07:15:00 AM,40,GateIn,Empty,EXPORT,91367,Slot30
-359457037,7/17/2017,07:15:00 AM,40,GateIn,Empty,EXPORT,90620,Slot30
-281285381,7/17/2017,07:15:00 AM,40,GateIn,Empty,EXPORT,90067,Slot30
1134486892,7/17/2017,07:15:00 AM,40,GateIn,Empty,EXPORT,92264,Slot30
1825223123,7/17/2017,07:15:00 AM,20,GateIn,Empty,EXPORT,90292,Slot30
1732287429,7/17/2017,07:15:00 AM,40,GateIn,Empty,EXPORT,92571,Slot30
-1979709457,7/17/2017,07:15:00 AM,40,GateIn,Empty,EXPORT,90840,Slot30
117106781,7/17/2017,07:15:00 AM,20,GateIn,Empty,EXPORT,92240,Slot30
-1728489789,7/17/2017,07:15:00 AM,40,GateIn,Empty,EXPORT,91335,Slot30
1386606278,7/17/2017,07:15:00 AM,40,GateIn,Empty,EXPORT,92317,Slot30
1623803510,7/17/2017,07:15:00 AM,40,GateIn,Empty,EXPORT,91182,Slot30
1899937541,7/17/2017,07:15:00 AM,40,GateIn,Empty,EXPORT,90814,Slot30
-1324955159,7/17/2017,07:15:00 AM,40,GateIn,Empty,EXPORT,90602,Slot30
-855562857,7/17/2017,07:15:00 AM,40,GateIn,Empty,EXPORT,90290,Slot30
1852493304,7/17/2017,07:15:00 AM,40,GateIn,Empty,EXPORT,90748,Slot30
1846728585,7/17/2017,07:15:00 AM,40,GateIn,Empty,EXPORT,92365,Slot30
1664450773,7/17/2017,07:15:00 AM,40,GateIn,Empty,EXPORT,91021,Slot30
-1496541779,7/17/2017,07:15:00 AM,20,GateIn,Empty,EXPORT,91041,Slot30
-1256476952,7/17/2017,07:15:00 AM,40,GateIn,Full,EXPORT,90631,Slot30
682702915,7/17/2017,07:15:00 AM,40,GateIn,Empty,EXPORT,90834,Slot30
-407093308,7/17/2017,07:15:00 AM,20,GateIn,Empty,EXPORT,92262,Slot30
1874523341,7/17/2017,07:15:00 AM,40,GateIn,Empty,EXPORT,90096,Slot30
-2130301651,7/17/2017,07:15:00 AM,40,GateIn,Empty,EXPORT,92693,Slot30
-1256280028,7/17/2017,07:15:00 AM,40,GateIn,Empty,EXPORT,90048,Slot30
-2035318269,7/17/2017,07:15:00 AM,40,GateIn,Empty,EXPORT,91410,Slot30
-1732360989,7/17/2017,07:15:00 AM,40,GateIn,Empty,EXPORT,91799,Slot30
-1161332384,7/17/2017,07:15:00 AM,40,GateIn,Empty,EXPORT,92347,Slot30
-300161315,7/17/2017,07:15:00 AM,40,GateIn,Empty,EXPORT,90263,Slot30
-146961809,7/17/2017,07:15:00 AM,40,GateIn,Empty,EXPORT,92637,Slot30
-48227670,7/17/2017,07:15:00 AM,20,GateIn,Empty,EXPORT,90018,Slot30
-640185309,7/17/2017,07:15:00 AM,20,GateIn,Empty,EXPORT,91311,Slot30
-63067917,7/17/2017,07:15:00 AM,20,GateIn,Empty,EXPORT,92879,Slot30
831939931,7/17/2017,07:15:00 AM,40,GateIn,Empty,EXPORT,92685,Slot30
1876945072,7/17/2017,07:15:00 AM,40,GateIn,Empty,EXPORT,93007,Slot30
-929949688,7/17/2017,07:15:00 AM,40,GateIn,Empty,EXPORT,93064,Slot30
1428777429,7/17/2017,07:15:00 AM,40,GateIn,Empty,EXPORT,90899,Slot30
379051836,7/17/2017,07:15:00 AM,20,GateIn,Empty,EXPORT,92564,Slot30
13239282,7/17/2017,07:15:00 AM,40,GateIn,Empty,EXPORT,90610,Slot30
-1609533113,7/17/2017,07:15:00 AM,40,GateIn,Full,EXPORT,93040,Slot30
1733978574,7/17/2017,07:15:00 AM,40,GateIn,Empty,EXPORT,90033,Slot30
1851445483,7/17/2017,07:15:00 AM,20,GateIn,Empty,EXPORT,92394,Slot30
1215387182,7/17/2017,07:15:00 AM,40,GateIn,Empty,EXPORT,92502,Slot30
-646618835,7/17/2017,07:15:00 AM,40,GateIn,Empty,EXPORT,92515,Slot30
1524947131,7/17/2017,07:15:00 AM,40,GateIn,Empty,EXPORT,92845,Slot30
1299782385,7/17/2017,07:15:00 AM,40,GateIn,Empty,EXPORT,93031,Slot30
311264291,7/17/2017,07:15:00 AM,40,GateIn,Empty,EXPORT,92327,Slot30
1085082791,7/17/2017,07:15:00 AM,20,GateIn,Empty,EXPORT,90711,Slot30
-1998725975,7/17/2017,07:15:00 AM,40,GateIn,Empty,EXPORT,90067,Slot30
1645778383,7/17/2017,07:15:00 AM,20,GateIn,Empty,EXPORT,91310,Slot30
-1190671930,7/17/2017,07:15:00 AM,40,GateIn,Empty,EXPORT,92886,Slot30
-359753314,7/17/2017,07:15:00 AM,40,GateIn,Empty,EXPORT,91307,Slot30
1082616048,7/17/2017,07:15:00 AM,40,GateIn,Empty,EXPORT,91732,Slot30
-101988563,7/17/2017,07:15:00 AM,40,GateIn,Empty,EXPORT,92656,Slot30
-794716897,7/17/2017,07:15:00 AM,40,GateIn,Empty,EXPORT,90020,Slot30
1390262847,7/17/2017,07:15:00 AM,40,GateIn,Empty,EXPORT,90301,Slot30
-1413709273,7/17/2017,07:15:00 AM,40,GateIn,Empty,EXPORT,93063,Slot30
-169208657,7/17/2017,07:15:00 AM,40,GateIn,Empty,EXPORT,90047,Slot30
-2087236796,7/17/2017,07:15:00 AM,20,GateIn,Full,EXPORT,90706,Slot30
336388870,7/17/2017,07:15:00 AM,45,GateIn,Empty,EXPORT,91110,Slot30
-1884815658,7/17/2017,07:15:00 AM,40,GateIn,Empty,EXPORT,91403,Slot30
-1880323857,7/17/2017,07:15:00 AM,40,GateIn,Empty,EXPORT,91723,Slot30
503775589,7/17/2017,07:15:00 AM,40,GateIn,Empty,EXPORT,91793,Slot30
1115198953,7/17/2017,07:15:00 AM,40,GateIn,Empty,EXPORT,92864,Slot30
-697254409,7/17/2017,07:15:00 AM,40,GateIn,Empty,EXPORT,90265,Slot30
-1717817741,7/17/2017,07:15:00 AM,40,GateIn,Empty,EXPORT,90224,Slot30
385856697,7/17/2017,07:15:00 AM,40,GateIn,Empty,EXPORT,90240,Slot30
1415012276,7/17/2017,07:15:00 AM,40,GateIn,Empty,EXPORT,93020,Slot30
1480650233,7/17/2017,07:15:00 AM,40,GateIn,Empty,EXPORT,91302,Slot30
-1614771303,7/17/2017,07:15:00 AM,45,GateIn,Empty,EXPORT,92543,Slot30
-1718862102,7/17/2017,07:15:00 AM,40,GateIn,Empty,EXPORT,91335,Slot30
-1091461782,7/17/2017,07:15:00 AM,40,GateIn,Empty,EXPORT,92413,Slot30
626105534,7/17/2017,07:15:00 AM,20,GateIn,Empty,EXPORT,92201,Slot30
-510637027,7/17/2017,07:15:00 AM,40,GateIn,Empty,EXPORT,91115,Slot30
1883469864,7/17/2017,07:15:00 AM,45,GateIn,Empty,EXPORT,92806,Slot30
-1662077617,7/17/2017,07:15:00 AM,40,GateIn,Empty,EXPORT,90731,Slot30
-1826673854,7/17/2017,07:15:00 AM,40,GateIn,Empty,EXPORT,91759,Slot30
1992699009,7/17/2017,07:15:00 AM,40,GateIn,Empty,EXPORT,90224,Slot30
-992661109,7/17/2017,07:15:00 AM,40,GateIn,Full,EXPORT,92366,Slot30
1970865867,7/17/2017,07:15:00 AM,40,GateIn,Empty,EXPORT,92735,Slot30
890047733,7/17/2017,07:15:00 AM,40,GateIn,Empty,EXPORT,91789,Slot30
-351721958,7/17/2017,07:15:00 AM,40,GateIn,Empty,EXPORT,91352,Slot30
-1860593056,7/17/2017,07:15:00 AM,40,GateIn,Empty,EXPORT,91209,Slot30
423581366,7/17/2017,07:15:00 AM,40,GateIn,Full,EXPORT,91723,Slot30
-1594849167,7/17/2017,07:15:00 AM,20,GateIn,Empty,EXPORT,90847,Slot30
-830954531,7/17/2017,07:15:00 AM,45,GateIn,Empty,EXPORT,91733,Slot30
-120949829,7/17/2017,07:15:00 AM,40,GateIn,Empty,EXPORT,91327,Slot30
-595666736,7/17/2017,07:15:00 AM,40,GateIn,Full,EXPORT,90209,Slot30
-582343869,7/17/2017,07:15:00 AM,40,GateIn,Empty,EXPORT,92646,Slot30
