BIC,Container Size,In/Out Gate,Full / Empty,Container Status,Destination,Trucker ID,Pick-up Time
-2038321182,40,GateOut,Full,IMPORT,92781,,
-914463262,40,GateOut,Full,IMPORT,92365,,
2073791558,40,GateOut,Full,IMPORT,92624,,
-1131070520,40,GateOut,Full,IMPORT,92606,,
-1965835670,40,GateOut,Full,IMPORT,90801,,
-1283743139,40,GateOut,Full,IMPORT,91759,,
-1953081919,40,GateOut,Full,IMPORT,92386,,
88041417,40,GateOut,Full,IMPORT,91305,,
126268986,40,GateOut,Full,IMPORT,91778,,
1619499240,40,GateOut,Full,IMPORT,90054,,
-233859430,40,GateOut,Full,IMPORT,93590,,
-391201180,40,GateOut,Full,IMPORT,90057,,
-1583626462,40,GateOut,Full,IMPORT,91408,,
-1277281432,40,GateOut,Full,IMPORT,92650,,
-1938705898,40,GateOut,Full,IMPORT,90720,,
1725297995,40,GateOut,Full,IMPORT,91007,,
266517416,40,GateOut,Full,IMPORT,92307,,
1740078905,40,GateOut,Full,IMPORT,93543,,
1498636020,40,GateOut,Full,IMPORT,91409,,
1473775486,40,GateOut,Full,IMPORT,92587,,
-1904036095,40,GateOut,Full,IMPORT,92326,,
1411192393,40,GateOut,Full,IMPORT,91222,,
-1777411702,40,GateOut,Full,IMPORT,91745,,
-638693570,40,GateOut,Full,IMPORT,91024,,
952315600,40,GateOut,Full,IMPORT,91306,,
1327500505,40,GateOut,Full,IMPORT,90072,,
-1267167104,40,GateOut,Full,IMPORT,92626,,
367934706,40,GateOut,Full,IMPORT,92628,,
738267532,40,GateOut,Full,IMPORT,92591,,
1073265868,40,GateOut,Full,IMPORT,90025,,
-1985085224,40,GateOut,Full,IMPORT,92620,,
-356182738,40,GateOut,Full,IMPORT,92230,,
-369151394,40,GateOut,Full,IMPORT,92311,,
1871758517,40,GateOut,Full,IMPORT,91328,,
-974812485,40,GateOut,Full,IMPORT,92337,,
941406193,40,GateOut,Full,IMPORT,90702,,
-1103401050,40,GateOut,Full,IMPORT,91203,,
751563777,40,GateOut,Full,IMPORT,91203,,
-1205390015,40,GateOut,Full,IMPORT,91210,,
273143667,40,GateOut,Full,IMPORT,92530,,
-2143962087,40,GateOut,Full,IMPORT,90075,,
-1495828102,40,GateOut,Full,IMPORT,91507,,
-552386132,40,GateOut,Full,IMPORT,90507,,
-242696522,40,GateOut,Full,IMPORT,92587,,
678210805,40,GateOut,Full,IMPORT,90025,,
516660582,40,GateOut,Full,IMPORT,91788,,
631290621,40,GateOut,Full,IMPORT,90703,,
-1913552378,40,GateOut,Full,IMPORT,91759,,
-277583207,40,GateOut,Full,IMPORT,92372,,
-1848906069,40,GateOut,Full,IMPORT,90310,,
-471413472,40,GateOut,Full,IMPORT,92521,,
852026768,40,GateOut,Full,IMPORT,92518,,
-1663462532,40,GateOut,Full,IMPORT,92596,,
-2024687621,40,GateOut,Full,IMPORT,90041,,
1909064103,40,GateOut,Full,IMPORT,92424,,
-341085991,40,GateOut,Full,IMPORT,90002,,
-2040057195,20,GateOut,Full,IMPORT,91199,,
-95090730,40,GateOut,Full,IMPORT,91899,,
-1836199662,40,GateOut,Full,IMPORT,90639,,
1505013662,40,GateOut,Full,IMPORT,90103,,
-1558914111,20,GateOut,Full,IMPORT,91501,,
910218903,40,GateOut,Full,IMPORT,91214,,
-1920980162,40,GateOut,Full,IMPORT,90802,,
474430570,40,GateOut,Full,IMPORT,91328,,
-1868737854,40,GateOut,Full,IMPORT,92391,,
1427730148,40,GateOut,Full,IMPORT,91771,,
-796038758,20,GateOut,Full,IMPORT,90834,,
1383005453,40,GateOut,Full,IMPORT,91184,,
884449536,40,GateOut,Full,IMPORT,92350,,
-275555674,40,GateOut,Full,IMPORT,92235,,
1802438751,40,GateOut,Full,IMPORT,91526,,
-1611605302,40,GateOut,Full,IMPORT,92282,,
513901622,40,GateOut,Full,IMPORT,91185,,
1445158098,40,GateOut,Full,IMPORT,92358,,
765533398,40,GateOut,Full,IMPORT,91116,,
1662372375,40,GateOut,Full,IMPORT,92630,,
1365167701,40,GateOut,Full,IMPORT,90409,,
1160125675,40,GateOut,Full,IMPORT,92728,,
-117246110,40,GateOut,Full,IMPORT,91306,,
-90293201,20,GateOut,Full,IMPORT,91603,,
-2008725573,20,GateOut,Full,IMPORT,90721,,
11585736,40,GateOut,Full,IMPORT,90802,,
777573185,40,GateOut,Full,IMPORT,92394,,
-278172432,40,GateOut,Full,IMPORT,92840,,
764972802,20,GateOut,Full,IMPORT,90280,,
348518432,40,GateOut,Full,IMPORT,91522,,
427122709,45,GateOut,Full,IMPORT,90404,,
-877086977,40,GateOut,Full,IMPORT,91221,,
-530536100,20,GateOut,Full,IMPORT,90022,,
-821669577,40,GateOut,Full,IMPORT,91012,,
426155011,40,GateOut,Full,IMPORT,92235,,
-1119062100,20,GateOut,Full,IMPORT,92627,,
1101277991,40,GateOut,Full,IMPORT,92321,,
1885952814,40,GateOut,Full,IMPORT,93036,,
